"regions","ch_swe_anom"
"ch_swe_anom",1
"CHINLE",0.427755995153049
"COVE",0.553065649121896
"CRYSTAL",0.475049371308752
"FORT DEFIANCE",0.432166752821358
"LUKACHUKAI",0.501938267816997
"MEXICAN SPRINGS",0.461766092189937
"NASHITTI",0.395420268956315
"RED LAKE",0.473427056033963
"RED VALLEY",0.506953738600936
"ROUND ROCK",0.521249942718702
"SANOSTEE",0.467668519345323
"SAWMILL",0.485794745236631
"SHEEP SPRINGS",0.424170735972713
"TOHATCHI",0.434122407917514
"TSAILE/WHEATFIELDS",0.471017592789485
"TWIN LAKES",0.432339574208599
"TWO GREY HILLS",0.435772556392186
